fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
square/maximum-awesome,0,1,0,1,0,1,1,1,0,5589,5589,993,85,square/maximum-awesome,62.0,0.0,2.0,0.0,242.0,25.0,94.0,119.0,9.0,130.0,139.0,1.0,23.0,432.0,102.0,104.0,128.0,104.0,96.0,1
hanami/hanami,1,1,0,1,1,1,1,1,0,5578,5578,496,86,hanami/hanami,177.0,0.0,2.0,0.0,1761.0,13.0,434.0,447.0,12.0,684.0,696.0,1.0,82.0,446.0,109.0,103.0,103.0,103.0,137.0,1
sj26/mailcatcher,0,1,0,1,1,1,0,0,0,5498,5498,520,87,sj26/mailcatcher,54.0,376.0,15.0,13.0,541.0,19.0,321.0,340.0,13.0,137.0,150.0,2.0,70.0,408.0,95.0,102.0,105.0,102.0,99.0,0
jnunemaker/httparty,1,0,0,1,0,0,1,1,1,5473,5473,931,88,jnunemaker/httparty,241.0,0.0,2.0,0.0,1254.0,30.0,358.0,388.0,10.0,340.0,350.0,0.0,23.0,443.0,106.0,101.0,125.0,101.0,116.0,1
sferik/t,1,1,0,1,1,0,1,0,1,5349,5349,428,89,sferik/t,64.0,0.0,2.0,0.0,1002.0,144.0,155.0,299.0,36.0,113.0,149.0,3.0,137.0,396.0,94.0,100.0,98.0,100.0,98.0,0
opf/openproject,0,1,0,1,0,1,1,1,0,5314,5314,1524,90,opf/openproject,312.0,0.0,2.0,0.0,62331.0,0.0,0.0,0.0,39.0,10236.0,10275.0,0.0,56.0,527.0,135.0,99.0,148.0,99.0,181.0,1
github/markup,0,0,0,1,0,0,1,1,0,5309,5309,3573,91,github/markup,104.0,0.0,2.0,0.0,666.0,155.0,758.0,913.0,26.0,213.0,239.0,6.0,79.0,473.0,115.0,98.0,173.0,98.0,104.0,1
rails/webpacker,1,1,0,1,1,1,1,1,0,5277,5277,1447,92,rails/webpacker,464.0,0.0,2.0,0.0,1528.0,2.0,1865.0,1867.0,1.0,1384.0,1385.0,1.0,239.0,503.0,127.0,97.0,147.0,97.0,162.0,1
vcr/vcr,1,1,0,1,0,1,1,0,0,5249,5249,476,93,vcr/vcr,168.0,0.0,2.0,0.0,2087.0,55.0,453.0,508.0,10.0,368.0,378.0,2.0,189.0,414.0,96.0,96.0,102.0,96.0,120.0,0
thoughtbot/administrate,0,1,0,0,1,1,1,1,0,5244,5244,964,94,thoughtbot/administrate,251.0,0.0,2.0,0.0,1228.0,91.0,727.0,818.0,34.0,1304.0,1338.0,5.0,51.0,477.0,116.0,95.0,127.0,95.0,160.0,1
