fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
alibaba/ARouter,1,1,0,1,0,1,1,0,0,13565,13565,2385,82,alibaba/ARouter,26.0,0.0,2.0,0.0,300.0,68.0,771.0,839.0,9.0,136.0,145.0,0.0,71.0,alibaba/ARouter,2016-12-14 01:27:49,1941,0.0,0.0133951571354971,0.0,0.0010303967027305,0.1545595054095827,0.0,0.1555899021123132,1
Tencent/QMUI_Android,1,1,0,1,0,0,1,0,0,13309,13309,2539,83,Tencent/QMUI_Android,21.0,0.0,2.0,0.0,942.0,400.0,694.0,1094.0,2.0,37.0,39.0,0.0,12.0,Tencent/QMUI_Android,2017-04-21 10:03:18,1813,0.0,0.0115830115830115,0.0,0.0011031439602868,0.519580805295091,0.0,0.5206839492553778,0
material-components/material-components-android,0,1,0,1,0,0,1,1,0,13092,13092,2564,84,material-components/material-components-android,204.0,7865.0,30.0,28.0,4414.0,433.0,1736.0,2169.0,41.0,343.0,384.0,1.0,24.0,material-components/material-components-android,2016-12-05 16:11:29,1950,4.033333333333333,0.1046153846153846,0.0143589743589743,0.0153846153846153,2.263589743589744,0.9333333333333332,3.2123076923076925,0
orhanobut/logger,0,1,0,1,0,1,0,0,0,13072,13072,2069,85,orhanobut/logger,15.0,295.0,16.0,1.0,146.0,62.0,134.0,196.0,11.0,51.0,62.0,0.0,51.0,orhanobut/logger,2015-03-20 22:30:12,2576,0.1145186335403726,0.0058229813664596,0.0003881987577639,0.0062111801242236,0.0566770186335403,0.0625,0.1253881987577639,1
Anuken/Mindustry,1,1,0,1,0,0,1,1,0,13032,13032,1788,86,Anuken/Mindustry,475.0,66801.0,30.0,60.0,12934.0,1.0,2906.0,2907.0,140.0,3454.0,3594.0,2.0,78.0,Anuken/Mindustry,2017-04-30 01:24:29,1804,37.02937915742794,0.2633037694013304,0.0332594235033259,0.0166297117516629,7.169623059866963,2.0,9.186252771618626,0
medcl/elasticsearch-analysis-ik,1,1,0,1,1,0,1,0,0,13020,13020,2854,87,medcl/elasticsearch-analysis-ik,39.0,123547.0,30.0,30.0,258.0,319.0,513.0,832.0,15.0,83.0,98.0,6.0,83.0,medcl/elasticsearch-analysis-ik,2011-12-16 09:01:45,3766,32.80589484864578,0.0103558151885289,0.0079660116834838,0.0079660116834838,0.0685077004779607,1.0,1.0764737121614445,0
Bigkoo/Android-PickerView,1,1,0,1,1,1,1,0,0,12984,12984,3340,88,Bigkoo/Android-PickerView,23.0,0.0,2.0,0.0,490.0,399.0,528.0,927.0,19.0,58.0,77.0,0.0,159.0,Bigkoo/Android-PickerView,2014-12-28 01:46:38,2658,0.0,0.0086531226486079,0.0,0.000752445447705,0.1843491346877351,0.0,0.1851015801354401,1
iBotPeaches/Apktool,1,1,0,0,0,1,1,0,0,12926,12926,2920,89,iBotPeaches/Apktool,102.0,332782.0,15.0,14.0,1860.0,74.0,2328.0,2402.0,5.0,319.0,324.0,0.0,30.0,iBotPeaches/Apktool,2012-03-19 17:46:53,3672,90.6269063180828,0.0277777777777777,0.0038126361655773,0.0040849673202614,0.5065359477124183,0.9333333333333332,1.4439542483660128,0
prestodb/presto,0,1,0,1,1,0,1,0,0,12921,12921,4392,90,prestodb/presto,683.0,0.0,2.0,0.0,19669.0,919.0,3971.0,4890.0,259.0,12200.0,12459.0,0.0,37.0,prestodb/presto,2012-08-09 01:03:37,3529,0.0,0.1935392462453952,0.0,0.0005667327854916,5.57353357891754,0.0,5.574100311703032,0
YunaiV/SpringBoot-Labs,1,1,0,0,0,0,1,0,0,12638,12638,4139,91,YunaiV/SpringBoot-Labs,5.0,0.0,2.0,0.0,674.0,21.0,15.0,36.0,6.0,11.0,17.0,0.0,157.0,YunaiV/SpringBoot-Labs,2018-09-12 14:51:46,1304,0.0,0.0038343558282208,0.0,0.0015337423312883,0.5168711656441718,0.0,0.5184049079754601,0
android-hacker/VirtualXposed,1,1,0,1,0,1,1,0,0,12591,12591,2194,92,android-hacker/VirtualXposed,58.0,4075485.0,30.0,52.0,1648.0,94.0,903.0,997.0,4.0,64.0,68.0,0.0,58.0,android-hacker/VirtualXposed,2017-12-01 09:00:58,1589,2564.811202013845,0.0365009439899307,0.0327249842668344,0.0188797986154814,1.0371302706104468,1.7333333333333334,2.7893434025592616,0
eclipse-vertx/vert.x,0,1,0,1,0,0,1,0,0,12525,12525,1867,93,eclipse-vertx/vert.x,229.0,0.0,2.0,0.0,5270.0,176.0,2161.0,2337.0,67.0,1890.0,1957.0,0.0,20.0,eclipse-vertx/vert.x,2011-06-17 14:54:55,3948,0.0,0.0580040526849037,0.0,0.0005065856129685,1.334853090172239,0.0,1.3353596757852075,0
